Id;Author;Title;Publisher;Year;Pages;Storage;Notes;CottageNumber
1412;Захаров М.В.;Ученый и воин. (О Маршале Советского Союза Б.М. Шапошникове) Изд. 2-е.;М.;1978;112;15;ил.;
1413;Рыжих Н.Ф.;Хирург;М.;1974;112;15;ил.;
1414;Воробьева И.А.;Язык земли. О местных географических названиях Западной Сибири.;Новосибирск;1973;152;15;;
1415;Козин В.В.;К верховьям неведомых рек.;М.;1981;120;15;ил., карт.;
1416;Ильин В.А.;Адмирал скоростного флота.;М.;1983;94;15;ил.;
1417;Друнина Ю.;Мы обетам верны. Стихи.;М.;1983;32;15;;
1418;Виноградов С.Ф.;В дерзновенном полете. (О Б.Г. Чухновском).;М.;1975;120;15;ил.;
1419;Губарев В.С.;Конструктор. Несколько страниц из жизни Михаила Кузьмича Янгеля.;М.;1977;110;15;ил.;
1420;Галлай М.Л.;Жизнь Арцеулова.;М.;1985;112;15;ил.;
1421;Асташенков П.Т.;Дерзкие старты. Об авиаконструкторе дважды Герое Соц. Труда С.А. Лавочкине.;М.;1976;110;15;ил.;
1422;Рябов П.П.;Сезон удачи: (Страницы жизни геолога Василия Подшибякина).;М.;1980;128;15;ил.;
1423;Гаглов И.И.;Генерал армии А.И. Антонов. - 2-е изд.,доп.;М.;1987;160;15;ил.;
1424;Комар И.В.;Свердловск.;М.;1954;100;15;ил.;
1425;Корольков Ю.М.;Феликс - значит счастливый…;М.;1974;464;15;ил.;
1426;Штернфельд А.А.;Искусственные спутники. Изд. 2-е, перераб. и доп.;М.;1958;296;15;ил.;
1427;Нилин П.Ф.;Жестокость. Испытательный срок. Повести.;М.;1957;392;15;;
1428;Шишков В.Я.;Емельян Пугачев. Историческое повествование. Кн. вторая.;М.;1955;760;15;ил.;
1429;Шишков В.Я.;Емельян Пугачев. Историческое повествование. Кн. третья.;М.;1955;576;15;ил.;
1430;Фадеев А.А.;"Молодая гвардия; Разлив; Рассказы.";М.;1986;734;15;;
1431;Короленко В.Г.;Повести и рассказы.;М.;1984;352;15;ил.;
1432;;Приказано заступить!;М.;1974;238;15;ил.;
1433;Пегов Н.М.;Далекое - близкое.;М.;1982;224;15;ил.;
1434;;Пословицы разных народов.;Новосибирск;1959;280;15;;
1435;;КПСС. Съезд, 22-й, Москва. 1961. Стенографический отчет. Т.2.;М.;1961;608;15;;
1436;;КПСС. Съезд, 22-й, Москва. 1961. Стенографический отчет.;М.;1961;592;15;;
1437;Тургенев И.С.;Первая любовь: Повести. (Ася. Первая любовь. Вешние воды.).;М.;1983;336;15;;
1438;Федин К.;Города и годы. Роман.;М.;1978;512;15;;
1439;Дрюон М.;"Французская волчица; Лилия и лев. Пер. с франц.(5 и 6 книги исторической серии М. Дрюона ""Проклятые короли"").";Л.;1982;592;15;;
1440;Адамсон Дж.;Рожденная свободной. Пер. сангл.;М.;1966;392;15;24 л. ил.;
1441;Мельникоа П.И. (Андрей Печерский).;В лесах. В двух книгах. Кн. 1.;Горький;1956;592;15;;
1442;Мельников П.И. (Андрей Печерский).;На горах. В двух книгах. Кн. 1.;М.;1956;644;15;;
1443;Мельников П.И. (Андрей Печерский).;На горах. В двух книгах. Кн. 2.;М.;1956;528;15;;
1444;Золя Э.;Страница любви. Роман.;Смоленск;1954;296;15;;
1445;Исаковский М.;Сочинения в двух томах. Т. 1. Стихи, поэмы, песни. 1924 - 1940.;М.;1951;256;15;;
1446;;Страны мира: Краткий полит.-экон. справочник.;М.;1983;464;15;;
1447;Лохвицкий М.Ю.;Выстрел в Метехи. (Повесть о Ладо Кецховели).;М.;1973;368;15;ил.;
1448;Барышев М.И.;Особые полномочия: Повесть о Вячеславе Менжинском. - 2-е изд.;М.;1983;414;15;ил.;
1449;Гуро И., Андреев А.;Горизонты. Повесть о Станиславе Косиоре.;М.;1977;408;15;ил.;
1450;Погребинский М.Б.;Председатель ВРК;М.;1986;302;15;ил.;
1451;Измайлова Р.;Париж.;М.;1954;96;15;ил.;
1452;Казунин Ф., Ягупов В.;Евпатория;Симферополь;1966;112;15;ил.;
1453;;Атлас автомобильных дорог СССР.;М.;1976;;15;;
1454;;Атлас железных дорог СССР. Пассажирское сообщение.;М.;1982;188;15;;
1455;;Американская новелла XIX века.;М.;1958;680;15;;
1456;;Американская новелла XX века.;М.;1958;536;15;;
1457;Шигер А.Г.;Политическая карта мира. (1900 - 1965). Справочник.;М.;1966;206;15;карт.;
1458;Мельников П.И.(Андрей Печерский).;Рассказы и повести.;М.;1983;528;15;;
1459;Масленников Б.Г.;Морская карта рассказывает. - 2-е изд., перераб. и доп.;М.;1986;368;15;ил.;
1460;Толстой А.Н.;Чудаки. Хромой барин. Егор Абозов. Романы.;М.;1985;384;15;ил.;
1461;Ильф И., Петров Е.;Золотой теленок. Роман.;М.;1976;320;15;;
1462;Ремарк Э.М.;Искра жизни. Последняя остановка.;М.;1993;384;15;;
1463;Ремарк Э.-М.;Возлюби ближнего своего. Роман.Пер. с нем.;М.;1991;320;15;;
1464;Ремарк Э.М.;На западном фронте без перемен.Том 1.;М.;1991;192;15;;
1465;Ремарк Э.М.;Три товарища. Том 3.;М.;1992;416;15;;
1466;Ремарк Э.М.;Триумфальная арка. Том 5.;М.;1992;448;15;;
1467;Скотт Дж.;Ледниковый щит и люди на нем.;М.;1959;112;15;ил.;
1468;Семенникова Н., Окунь Я.;Ленинград за три дня.;Л.;1965;192;15;ил.;
1469;Кочин Н.И.;Кулибин. Второе дополненое издание.;Горький;1958;332;15;Дарственная надпись Геннадию Васильевичу от его мамы.;
1470;Ремарк Э.М.;Возвращение. Том 2.;М.;1991;240;15;;
1471;Ремарк Э.М.;Ночь в Лиссабоне. Том 9.;М.;1992;224;15;;
1472;Ремарк Э.М.;Жизнь взаймы (История одной любви). Роман.;Новосибирск;1991;208;15;;
1473;Золя Э.;Жерминаль. Роман.;Кишинев;1954;496;15;;
1474;Золя Э.;Карьера Ругонов. Роман.;М.;1955;336;15;;
1475;Золя Э.;Доктор Паскаль. Роман.;Новосибирск;1955;320;15;;
1476;Золя Э.;Дамское счастье. Роман.;М.;1955;464;15;;
1477;Золя Э.;Деньги. Роман.;Петрозаводск;1955;432;15;;
1478;Золя Э.;Добыча. Роман.;Тула.;1955;304;15;;
1479;Кронин А.;Цитадель. Роман. Пер. с англ.;Киев;1955;396;15;;
1480;Гашек Я.;Похождения бравого солдата Швейка во время мировой войны. Роман. Пер. с чешского.;Казань;1956;840;15;ил.;
1481;Вересаев В.;Собрание сочинений в пяти томах. Т. 1.;М.;1961;480;15;;
1482;Горин-Горяйнов Б.;Федор Волков. Роман-хроника.;Ярославль.;1956;424;15;;
1483;Бродский Е.А.;Они не пропали без вести: Не сломленные фашистской неволей.;М.;1987;462;16;16 л. ил.;
1484;;;;;;;;
1485;;;;;;16;;
1486;Кабанов С.И.;Поле боя - берег.;М.;1977;364;16;10 л. ил.;
1487;Гордиенко Ан;Иосиф Сталин;Мн.;1998;288;16;;
1488;Крылов Н.И.;Сталинградский рубеж. - 2-е изд.;М.;1984;380;16;6 л. ил.;
1489;Руденко С.И.;Крылья Победы.;М.;1976;412;16;ил.;
1490;Скрипко Н.С.;По целям ближним и дальным.;М.;1981;350;16;9 л. ил.;
1491;Чутко И.Э.;Красные самолеты. - 3-е изд.;М.;1982;128;16;ил.;
1492;Федоров А.Г.;До последнего старта.;М.;1965;208;16;ил.;
1493;;Советско-английские отношения во время Великой Отечественной войны, 1941 - 1945: Документы и материалы. В 2-х т. Т. 1. 1941 - 1945.;М.;1983;542;16;;
1494;;Советско-английские отношения во время Великой Отечественной войны, 1941- 1945: Документы и материалы. В 2-х т. Т. 2. 1941 - 1945.;М.;1983;494;16;ил.;
1495;Хлебников Н.М.;Под грохот сотен батарей. - 2-еизд., испр.;М.;1979;376;16;ил.;
1496;Щедрин Г.И.;"На борту ""С - 56"".";М.;1963;280;16;ил.;
1497;Катуков М.Е.;На острие главного удара. Изд. 2-е исправ.;М.;1976;430;16;ил.;
1498;;На линии огня.;М.;1976;344;16;;
1499;Кузнецов Н.Г.;Накануне.;М.;1966;344;16;ил.;
1500;;Битва за Москву. - 4-е изд., доп. и перераб.;М.;1985;528;16;ил;
1501;;Письма и бумаги императора Петра Великого. Том XII. Вып. 2. (июль - декабрь 1712 г.).;М.;1977;632;16;;
1502;;История второй мировой войны 1939 - 1945. В двенадцати томах. Том девятый. Освобождение территории СССр и европейских стран. Война на Тихом океане и в Азии.;М.;1978;576;16;ил.;
1503;;"Публицистика; Очерки. Пдгот. Текста Кривицкого А.";М.;1984;366;16;;
1504;Фабр Жан-Анри;Жизнь насекомых. Рассказы энтомолога.;М.;1963;460;16;ил.;
1505;;Советский Союз в годы Великой Отечественной войны 1941 - 1945.;М.;1977;728;16;ил.;
1506;;Сын Отечества. Фотоальбом.;М.;1995;248;16;ил.;
1507;Говард М.;Большая стратегия. Пер. с англ.;М.;1980;464;16;;
1508;Кожевников В.М.;Щит и меч. Роман. Книга вторая.;Кызыл.;1985;476;16;;
1509;Покрышкин А.И.;"Познать себя в бою. ""Сталинские соколы"" против асов люфтваффе. 1941 - 1945.";М.;2006;446;16;ил.;
1510;Покрышкин А.И.;Небо войны. - Повесть фронтовых лет.;Новосибирск;1988;448;16;ил.;
1511;Пеэгель Ю.М.;Свет а родном окне. Роман. Рассказы.Пер. с эстонского.;М.;1987;288;16;ил.;
1512;Хаметов М.И.;Адмирал А.Г. Головко.;М.;1984;206;16;ил.;
1513;Еремеев Л.М.;Глазами друзей и врагов. О роли Советского Союза в разгроме фашистской Германии.;М.;1966;272;16;;
1514;Корнюшин Л.Г.;Прозрение и надежды. Роман.;М.;1978;480;16;;
1515;Долматовский Е.а.;Зеленая брама. Докум. Легенда об одном из первых сражений Великой Отечественной войны.-3-е изд.;М.;1989;320;16;;
1516;Михайловский Н.Г.;Адмирал Трибуц.;М.;1982;96;16;;
1517;Рудный В.А.;Долгое,долгое плавание: Об Адмирале Флота Советского Союза И.С. Исакове.- 2-е изд., доп.;М.;1984;142;16;ил.;
1518;Мерецков К.А.;На службе народу.Воспоминания. - 5-е изд.;М.;1988;448;16;ил.;
1519;Василевский А.М.;Дело всей жизни. Кн. 1. - 6-е изд.;М.;1988;320;16;ил.;
1520;Василевский А.М.;Дело всей жизни. Кн. 2. - 6-е изд.;М.;1988;364;16;ил.;
1521;;Звезды доблести ратной. Сборник. - 2-е изд., доп.;Новосибирск.;1986;432;16;ил.;
1522;Горбатов А.В.;Годы и войны.;М.;1965;384;16;ил.;
1523;Рудный В.А.;Готовность № 1: (О Н.Г. Кузнецове).;М.;1982;128;16;ил.;
1524;Ковальчук В.М.;Ленинград и Большая земля. История Ладожской коммуникации блокированного Ленинграда в 1941 - 1943 гг.;Л.;1975;328;16;ил.Дарственная надпись Геннадию Васильевичу от Ольги.;
1525;Востоков Е.И.;Грековцы. - 2-е изд., доп.;М.;1983;120;16;ил.;
1526;Бережков В.;Тегеран, 1943. На конференции Большой тройки и в кулуарах.;М.;1968;128;16;;
1527;Чуковский Н.;Балтийское небо. Роман.;Курск;1962;528;16;;
1528;Шарипов А.А.;Черняховский. Роман-хроника.;М.;1991;368;16;ил.;
1529;Чаковский А.;Блокада. Роман. Книги первая и вторая.;М.;1971;624;16;;
1530;Павлов Д.В.;Ленинград в блокаде (1941). Изд. 3-е,доп.;М.;1967;208;16;ил.;
1531;;Освобождение Белоруссии 1944.;М.;1970;774;16;ил.;
1532;Сандалов Л.М.;На московском направлении.;М.;1970;368;16;ил.;
1533;Василевский А.М.;Дело всей жизни. Изд. 2-е, доп.;М.;1976;608;16;ил.;
1534;Федоров А.Г.;Авиация в битве под Москвой. Изд. 2-е, доп. и исправ.;М.;1975;344;16;ил.;
1535;Дмитриев В.И.;Советское подводное кораблестроение.;М.;1990;286;16;ил.;
1536;Кожевников М.Н.;Командование и штаб ВВС Советской Армии в Великой Отечественной войне 1941 - 1945 гг.;М.;1978;288;16;ил.;
1537;Познанский В.С.;Д.М. Карбышев.;Новосибирск;1985;288;16;ил.;
1538;Овчинников В.В.;Горячий пепел.;М.;1986;496;16;;
1539;Под ред. С.К. Куркоткина;Тыл Советских Вооруженных Сил в Великой Отечественной войне 1941 - 1945 гг.;М.;1977;560;16;ил;
1540;Головко А.Г.;Вместе с флотом. - 3-е изд.;М.;1984;288;16;ил.;
1541;Шумилов Н.Д.;В дни блокады. Изд. 2-е, перераб. и доп.;М.;1977;302;16;;
1542;Симонов К.;Солдатами не рождаются. Роман. Кн. 1 и 2.;М.;1966;752;16;;
1543;Полынин Ф.П.;Боевые маршруты.;М.;1972;392;16;ил.;
1544;;КПСС. Справочник. Изд. 3-е, доп. и перераб.;М.;1971;414;16;ил.;
1545;Кусков В.П.;Корабли Октября.;Л.;1984;192;16;ил.;
1546;Яковлев Н.Д.;Об артиллерии и немного о себе.;М.;1981;176;16;ил.;
1547;Сафронов И.В.;За фронтом - тоже фронт.;М.;1986;174;16;ил.;
1548;Безыменский Л.;Тайный фронт против второго фронта.;М.;1987;280;16;ил.;
1549;Руге Ф.;Война на море 1939 - 1945.;М.;1998;400;16;ил.;
1550;Андроников Н.Г., Галицан А.С., КирьянМ.М. и др.;Великая Отечественная война 1941 - 1945: Словарь-справочник. 2-е изд., доп.;М.;1988;560;16;;
1551;Кузнецов Н.Г.;На далеком меридиане. 2-е доп. изд.;М.;1971;256;16;ил.;
1552;Исаков И.И.;Командиры мужают в боях.;М.;1968;288;16;;
1553;Азаров В.Б.;"Командир ""С-7"": О Герое Советского Союза С.П. Лисине.";М.;1985;110;16;ил.;
1554;Родичев Н.;Не отверну лица. Повести и рассказы.;Новосибирск;1971;240;16;Дарственная надпись Геннадию Васильевичу то пионеров.;
1555;Вишневский В.В.;Дневники военных лет: (1943, 1945гг.);М.;1979;432;16;;
1556;;Маршал Тухачевский.;М.;1965;248;16;;
1557;;Документы по истории мюнхенского сговора. 1937 - 1939 / М-во иностр. дел СССР, М-во иностр. дел ЧССР.;М.;1979;472;16;;
1558;;История Древнего Востока. Зарождение древнейших классовых обществ и первые очаги рабовладельческой цивилизации. Ч. 1. Месопотамия.;М.;1983;534;17;ил. и карт.;1
1559;Ильин В.А., Садовничий В.А., Сендов Б.Х.;Математический анализ.;М.;1979;720;17;ил.;2
1560;Сост. С. Ямщиков;Новые открытия Советских рестовраторов. - Живопись. Графика. Скульптура. Прикладное искусство.;М.;1973;;17;;3
1561;Хинес Перес де Ита.;Повесть о Сетри и Абенсеррахах, мавританских рыцарях из Гранады.;М.;1981;288;17;;4
1562;;Рукописная традиция XVI - XIX вв. на востоке Сибири. (Археография и источниковедение Сибири).;Новосибирск;1983;248;17;;5
1563;;Филиппины.(карта).;М.;1973;;17;;6
1564;Лихачев Д.С.;Заметки о русском. - 2-е изд., доп.;М.;1984;64;17;;7
1565;;Восстание московских стрельцов. 1698 год. (Материалы следственного дела). Сб. документов.;М.;1980;328;17;;8
1566;Королев А.Н., Жохов В.П.;Надувные лодки.;Л.;1980;288;17;ил.;9
1567;Снорри Стурлусон;Круг Земной.;М.;1980;688;17;;10
1568;Благосклонов К.Н.;Гнездование и привлечение птиц в сады и парки.;М.;1991;252;17;ил.;11
1569;;Краткий справочник физико-химических величин. Изд. 7-е, исправ.;Л.;1974;200;17;110 табл., 62 рис.;12
1570;;Средневековая Русь. Сб. ст.;М.;1976;368;17;ил.;13
1571;Борисова Е.А.;Русская архитектура второй половины XIX века.;М.;1979;320;17;ил.;14
1572;Янош Эрдёри.;Борьба за моря. Эпоха великих географических открытий.;Будапешт;1985;168;17;ил.;15
1573;;Lexikon der Vogelhaltung. Herausgegeben von Franz Robiller.;Leipzig;1986;680;17;ill.;16
1574;;Древнерусское искусство. Проблемы и атрибуции.- Сб. ст.;М.;1977;464;17;ил.;17
1575;;Древнерусское искусство. Монументальная живопись XI - XVII ввСб. ст.;М.;1980;400;17;ил.;18
1576;Галушин В.М., Дроздов Н.Н., Ильичев В.Д. и др.;Птицы: Справочник.;М.;1991;312;17;ил.;19
1577;Здислав Вдовинский.;Фотоприключения. Пер. с польского.;;;;17;;20
1578;Плугин В.А.;Мировозрение Андрея Рублева ( Некоторые проблемы). Древнерусская живопись как исторический источник.;М.;1974;164;17;ил.;21
1579;Лихачев Д.С., Панченко А.М.,Понырко Н.В.;Смех в Древней Руси.;Л.;1984;296;17;ил.;22
1580;Федоров-Давыдов Г.А.;Монеты Московской Руси: (Москва в борьбе за независимость и централизованное государство).;М.;1981;224;17;ил.;23
1581;;Крестьянство Сибири в эпоху капитализма.;Новосибирск;1983;400;17;ил.;24
1582;;Крестьянство Сибири в период упрочнения и развития социализма.;Новосибирск;1985;400;17;ил.;25
1583;Сост. Ивкина Л.И.;Акты феодального землевладения и хозяйства. Акты Московского Симонова монастыря (1506 - 1613 гг.);Л.;1983;352;17;;26
1584;Lothar Ritter.;Begegnungen in heimatlicher Natur. Band IV.;Berlin;1979;160;17;ill.;27
1585;;Крестьянство Сибири в период строительства социализма. 1917 - 1937 гг.;Новосибирск;1983;392;17;ил.;28
1586;Попов Г.В.,Рындина А.В.;Живопись и прикладное искусство Твери. XIV - XVI века.;М.;1979;640;17;ил.;29
1587;Тельтевский П.А.;Великий Устюг. Архитектура и искусство XVII - XIX веков.;М.;1977;180;17;ил.;30
1588;;Андрей Рублев и его эпоха. Сб. ст.;М.;1971;288;17;ил.;31
1589;Авт.-сост. С. Ямщиков.;Суздаль. Фотоальбом.;М.;1970;22;17;88 ил.;32
1590;;Средневековое искусство. Русь. Грузия. Сб. ст.;М.;1978;280;17;ил.;33
1591;;Куликовкая битва и подъём национального самосознания. ТОДРЛ, т. XXXIV.;Л.;1979;416;17;;34
1592;;Памятники московской деловой письменности XVIII века.;М.;1981;320;17;;34
1593;Килиевич С.Р.;Детинец Киева IX - первой половины XIII веков. По материалам археологических исследований.;Киев;1982;176;17;ил.;34
1594;Лазарев В.Н.;Византийская живопись.;М.;1971;408;17;ил.;35
1595;Халпахчьян О.Х.;Архитектурные ансамбли Армении. 8 в. до н.э. - 19 в. н.э.;М.;1980;480;17;ил.;36
1596;Смирнова Э.С., Лаурина В.К., Гордиенко Э.А.;Живопись Великого Новгорода. XV век.;М.;1982;576;17;ил.;37
1597;Аренкова Ю.И., Мехова Г.И.;Донской монастырь.;М.;1970;160;17;ил.;38
1598;Шепелев А.М.;Декоративная отделка индивидуальных домов.;М.;1992;182;17;ил.;39
1600;Вагнер Г.К.;Рязань;М.;1971;44;17;88 ил.;40
1601;Corina Nicolesen.;Rumanische Ikonen;Berlin;1973;64;17;74 ill.;41
1602;Лазарев В.Н.;Византийское и древнерусское искусство. Статьи и материалы.;М.;1978;336;17;ил.;42
1603;;Памятники культуры. Новые открытия. Письменность. Искусство. Археология. - Ежегодник. 1982.;Л.;1984;392;17;ил.;43
1604;Воробьев М.В.;Культура чжурчженей и государства Цзинь (X в. - 1234 г.);М.;1983;350;18;ил.;44
1605;Дандалеев М.А., Луконин В.Г.;Культура и экономика Древнего Ирана.;М.;1980;416;18;ил.;45
1606;Рабинович М.Г.;Очерки этнографии русского феодального города. Горожане, их Общественный и домашний быт;М.;1978;328;18;ил.;46
1607;Сост. Ю.А. Лабынцева.;Русское историческое повествование XVI - XVII веков: Сборник.;М.;1984;352;18;ил.;47
1608;;Памятники русской архитектуры и монументального искусства. Материалы и исследования.;М.;1980;248;18;ил.;48
1609;Чулууны Далай.;Монголия в XIII - XIV веках.;М.;1983;232;18;;49
1610;;Памятники искусства Советского Союза. Старые русские города. Справочник-путеводитель.;М.;1984;424;18;ил.;50
1611;Сидихменов В.Я.;Китай: страницы прошлого.;М.;1978;384;18;ил.;51
1612;Любимов Л.Д.;Искусство Древней Руси: Кн. для чтения.;М.;1981;336;18;ил.;52
1613;Канамори Хисао, Вади Дзюн.;Япония в раннем средневековье VII - XII века. Исторические очерки.;М.;1987;200;18;;53
1614;Лесненко В.К.;Мир озер: Кн. для внекласс. чтения учащихся 8-10 кл. сред. шк.;М.;1989;158;18;;55
1615;Седяков В.М.;Тропинки в таинственный мир.;Л.;1990;144;18;ил.;56
1616;Зотова И.А.;Покупателю о фотокинотоварах. 2-е изд. перераб.;М.;1987;96;18;;57
1617;Бунин И.А.;Собрание сочинений в девяти томах. Том 2. Повести и рассказы 1890 - 1909.;М.;1965;528;18;;58
1618;Пешкова И.М.;Искусство каслинских мастеров. Книга 1. Страницы ненаписанных биографий. Ируку приложил художник.;Челябинск.;1983;160;18;ил.;59
1619;Пешкова И.М.;Искусство каслинских мастеров. Книга 2. Мебель. Кабинетная скульптура. Каслинский чугунный павильон.;Челябинск;1983;160;18;ил.;60
1620;;Енциклопедия на изобразителните изкуства в България. Том първи А - Л.;София;1980;528;18;ил.;61
1621;Седов В.В.;Восточные славяне в VI - XIII вв.;М.;1982;328;18;ил.;62
1622;Кузнецов В.С.;Цинская империя на рубежах Центральной Азии (вторая половина XVIII - первая половина XIX в.).;Новосибирск;1983;126;18;;63
1623;Соколов В.Е.;Фауна мира: Млекопитающие: Справочник.;М.;1990;254;18;ил.;64
1624;Спурис З., Шмит В.;Птичий заповедник.;Рига;1962;168;18;ил.;65
1625;;История крестьянства Сибири. Крестьянство Сибири в эпоху феодализма.;Новосибирск;1982;504;18;;66
1626;Смирнова Э.С.;Культура Древней Руси. Посбие для учителей.;Л.;1967;304;18;ил.;67
1627;Пухальский Влодзимеж.;Хищные птицы.;Варшава;;16;18;72 ил.;68
1628;Stefan Tkac.;Ikony zo 16 - 19. storocia na severochodnom Slovenski.;Bratislava;1982;280;18;ill.;69
1629;Karel Hajek;Krasy myslivosti.;PRAHA;1969;300;18;ill.;70
1630;Коптев В.С.;Сибирское пчеловодство.;Новосибирск;1973;200;19;ил.;71
1631;Чивилихин В.А.;Память. Роман-эссе.;М.;1982;768;19;;72
1632;Будыко М.И.;Путешествие во времени: Сборник эссе.;М.;1990;288;19;;73
1633;Буренин Н.Л., Котова Г.Н.;Справочник по пчеловодству. - 2-е изд., перераб. и доп.;М.;1984;286;19;;74
1634;Бела Фогараши.;Логика;М.;1959;496;19;;75
1635;Фомин Б.В.;Покоренная плазма.;М.;1964;224;19;ил.;76
1636;Тименский П.И.;Приусадебная пасека.;М.;1988;272;19;ил.;77
1637;Цебро В.П.;День за днем на пасеке.;Л.;1991;154;19;;78
1638;Фигуровский Н.А.;Очерк общей истории химии. От древнейших времен до начала XIX в.;М.;1969;456;19;ил.;79
1639;Пушкин А.С.;Собрание сочинений. Том третий. Стихотворения 1827-1836. Сказки.;М.;1968;456;19;;80
1640;Сидорова Н.А.;Искусство Римской Африки.;М.;1979;224;19;ил.;81
1641;Ивантер Э.В.;Млекопитающие. - 2-е изд., исправ. и доп.;Петрозаводск;1986;224;19;ил.;82
1642;Михаль С.;Часы. От гномона до атомных часов.;М.;1983;256;19;ил.;83
1643;Лисянский Б.Г., Ладыгина Г.Г.;Тюльпаны: Определитель.;М.;2002;224;19;ил.;84
1644;Третьяков Ю.К.;Туристскими тропами.;Новосибирск;1978;144;19;ил.;85
1645;Свенцицкая И.С.;От общины к церкви: (О формировании христианской церкви).;М.;1985;225;19;;86
1646;Авербух А.Я., Богушевская К.К.;""" Из чего, как и что получается"".";Л.;1967;464;19;ил.;87
1647;Балухатый С.;Чехов драматург.;Л.;1936;320;19;;88
1648;Ред.-сост. Подобедова О.И.;Древнерусское искусство. Рукописная книга. Сборник второй.;М.;1974;344;19;ил.;89
1649;Ответ. ред. Подобедова О.И.;Древнерусское искусство. Рукописная книга.Сборник третий.;М.;1983;400;19;ил.;90
1650;Гуревич Ф.Д.;Древний Новогрудок. Посад-окольный город.;Л.;1981;160;19;ил.;91
1651;Басоло Ф., Пирсон Р.;Механизмы неорганических реакций. Изучение комплексов металлов в растворе.;М.;1971;592;19;;92
1652;Ласло Мравик.;Северо-итальянская живопись XV века.;Будапешт;1984;34;19;48 ил.;93
1653;Цыбиков Г.Ц.;Избранные труды в двух томах. Т. 1. Буддист - паломник у святынь Тибета.;Новосибирск;1981;266;19;ил.;94
1654;Сотникова М.П., Спасский И.Г.;Тысячелетие древнейших монет России. Сводный каталог русских монет X - XI веков.;Л.;1983;240;19;ил.;95
1655;Фисюнов А.В.;Сорные растения.;М.;1984;320;19;ил.;96
1656;;Древнерусское искусство. Зарубежные связи.;М.;1975;448;19;ил.;97
1657;;Памятники культуры. Новые открытия. Письменность. Искусство. Археология. Ежегодник. 1979.;Л.;1980;488;19;ил.;98
1658;;Ikony ze zbiorow muzeum okregowego w Przemyslu.;Krakow;;;19;;99
1659;;Восстановление памятников культуры: (Проблема реставрации).;М.;1981;232;19;59 ил.;100
1660;Сычева Н.С.;Ювелирные украшения народов Средней Азии и Казахстана XIX - XX веков из собрания Государственного музея искусства народов Востока. Альбом.;М.;1984;180;19;ил.;101
1661;;Художественная культура Средней Азии IX - XIII века. Сб. ст.;Ташкент;1983;208;19;ил.;102
1662;Воронин Н.Н.;Смоленская живопись 12 - 13 веков.;М.;1977;184;19;ил.;103
1663;;Памятники древнерусского зодчества. Земля псковская.;Л.;1972;192;19;ил.;104
1664;;Памятники древнерусского зодчества. Псков.;Л.;1969;120;19;ил.;105
1665;Slava Stoche.;Lovcem яшму krasy.;Praha;1989;96;19;220 ill.;106
1666;Хеджкоу Дж.;Искуссво цветной фотографии.;М.;1988;240;19;ил.;107
1667;Алпатов М.В.;Сокровища русского искусства XI - XVI веков. (Живопись). Альбом.;Л.;1971;288;19;ил.;108
1668;;История культуры Древней Руси. Домонгольский период. Том 1. Материальная культура.;М. - Л.;1951;484;19;ил.;109
1669;;Русь белокаменная.;Л.;1970;224;19;ил.;110
1670;Авт. кол. Ростунов И.И., Авдеев В.А., Осипова М.П., Соколов Ю.Ф.;История Северной войны. 1700 - 1721 гг.;М.;1987;216;20;ил.;111
1671;Завадская Е.В.;Мудрое вдохновение. Ми Фу (1052 - 1107).;М.;1983;200;20;ил.;112
1672;Варенышев Б.В., Дубинин К.Н., Мудрагей И.П.;Военно-инженерная подготовка: Учебное пособие.;М.;1982;232;20;ил.;113
1673;Фридрих И.;История письма. Пер. с нем.;М.;1979;464;20;ил.;114
1674;Кучкин В.А.;Формирование государственной территории Северо-Восточной Руси в X - XIV вв.;М.;1984;352;20;ил.;115
1675;;Российское законодательство X - XX веков. Вдевяти томах. Т. 1. Законодательство Древней Руси.;М.;1984;432;20;;116
1676;;Проблемы социально-экономической истории феодальной России.;М.;1984;288;20;;117
1677;Муравьева Л.Л.;Летописание Северо-Восточной Руси конца XIII - начала XV века.;М.;1983;296;20;;118
1678;Копанев А.И.;Крестьянство Русского Севера в XVI в.;Л.;1978;248;20;;119
1679;Данилов С.П.;Красавица Амга. Роман.;М.;1981;432;20;;120
1680;Картужанский А.Л., Красный-Адмони Л.В.;Химия и физика фотографических процессов.;Л.;1983;138;20;ил.;121
1681;Безыменнский Л.;"Особая папка ""Барбаросса"". Документальная повесть.";М.;1973;342;20;ил.;122
1682;Чекалов А.К.;Народная деревянная скульптура Русского Севера.;М.;1974;192;20;ил.;123
1683;Закарая П.;Древние города и крепости Грузии.;Тбилиси;1982;108;20;ил.;124
1684;Рапов М.А.;Каменные сказы. Сокровища древней русской архитектуры Ярославской области.;Ярославль;1972;248;20;ил.;125
1685;Сост. Ю.К. Новожилов.;Памятники архангельского Севера.;Архангельск;1983;174;20;20 л. ил.;126
1686;Сост. Сладков Н.;Розовые чайки и черные журавли: Книга о редких и исчезающих птицах.;Л.;1985;206;20;ил.;127
1687;Шепелев А.М.;Как построить сельский дом. 5-е изд.;М.;1988;400;20;ил.;128
1688;Мариковский П.И.;Забытые острова.;М.;1991;238;20;ил.;129
1689;Кол. авт.;3-я гвардейская танковая: Боевой путь 3-й гвардейской танковой армии.;М.;1982;282;20;12 л. ил.;130
